"title","abstract"
"Applied microbiology","Studies were conducted on the interaction of various parameters which affect the storage stability and growth potential of liquid cultures of Pasteurella tularensis live vaccine strain (LVS) and Rift Valley fever virus Van Wyk strain (RVFV). Storage variables studied with LVS included four storage temperatures (4, -20, -65, -175 C), single and multiple freeze-thaw cycles, two freezing and two thawing rates (slow and fast), various inoculum levels (1, 3, 5, and 10%) for the determination of growth potential, and the retention of immunizing potential (mice and guinea pig) after storage. Neither the freezing rate nor the number of freeze-thaw cycles seriously affected the growth of LVS after storage at -175C; however, the slow rate of thaw proved deleterious as were all temperatures of storage except -175 C after 1 year of storage, as shown by both criteria of evaluation. RVFV produced in two combinations of cell lines and media (LM cell line-199 peptone medium and LDR cell line-Eagle's minimum essential medium) was stored at three serum levels (10, 20, 40%), three pH values (6.2., 7.0, 7.8), and three temperatures (-20, -65, -175 C). These studies indicated: (i) virus produced in the LDR cell line and Eagle's medium was more stable than that produced in the LM cell line and 199 peptone medium for either short- or long-term storage; (ii) serum levels did not affect stability; and (iii) low pH resulted in losses during long-term storage under all conditions tested. Thus, cryogenic storage is advantageous for stock culture maintenance of bacteria and viruses and for other similar applications."
"American journal of veterinary research",NA
"Revue d'élevage et de médecine vétérinaire des pays tropicaux",NA
"Bulletin de la Société de pathologie exotique et de ses filiales",NA
"Archiv für die gesamte Virusforschung",NA
"Research in veterinary science",NA
"Research in veterinary science",NA
"American journal of veterinary research",NA
"Applied microbiology","The effects of virus input multiplicity and of tissue cell concentration upon the growth of Rift Valley fever virus in L cells (Earle) were determined. The titers obtained in suspension cultures with cells obtained from two separate laboratories were significantly different. With both monolayer culture and suspension culture systems, a virus input multiplicity of 2.5 resulted in the greatest proliferation of virus. Optimal viral yields were obtained in suspension cultures containing 4 x 10(5) tissue cells per ml of suspension."
"Applied microbiology",NA
"Revue d'élevage et de médecine vétérinaire des pays tropicaux",NA
"Bulletin - Office international des épizooties",NA
"American journal of veterinary research",NA
"American journal of veterinary research",NA
"The Journal of pathology and bacteriology",NA
"Advances in veterinary science",NA
"Journal of immunology (Baltimore, Md. : 1950)",NA
"The Journal of hygiene",NA
"Revue d'hygiène et de médecine sociale",NA
"The Journal of hygiene",NA
"Nature",NA
"The Journal of pathology and bacteriology",NA
"The Cornell veterinarian",NA
"Virology",NA
"The Journal of pathology and bacteriology",NA
"The American journal of pathology",NA
"The American journal of tropical medicine and hygiene",NA
"American journal of hygiene",NA
"Journal of immunology (Baltimore, Md. : 1950)",NA
"Nature",NA
"American journal of veterinary research",NA
"British journal of pharmacology and chemotherapy","The blood and urine of mice and rats infected with Babesia rodhaini contain substances which stimulate the isolated guinea-pig ileum and rat duodenum. The amount of active material excreted increases as the infection increases. The active substances are stable to boiling with hydrochloric acid but not with alkali; they pass through a cellophane membrane and are soluble in hot ethanol. They are destroyed rapidly by papain and less rapidly by chymotrypsin, but are unaffected by trypsin or pepsin. Their action on smooth muscle is not affected by atropine, eserine, antihistamines, iproniazid, bretylium or by lysergic acid diethylamide. The active substances are probably peptides and there is evidence that the urine contains a mixture of peptides, some of which relax and some of which contract the rat duodenum. Similar active peptides appear in the urine of mice infected with Plasmodium berghei, Trypanosoma rhodesiense, Streptococcus pyogenes and Rift Valley fever virus."
"Comptes rendus des séances de la Société de biologie et de ses filiales",NA
"East African medical journal",NA
"The Japanese journal of experimental medicine",NA
"Journal of immunology (Baltimore, Md. : 1950)",NA
"The Central African journal of medicine",NA
"The Central African journal of medicine",NA
"Comptes rendus des séances de la Société de biologie et de ses filiales",NA
"Comptes rendus des séances de la Société de biologie et de ses filiales",NA
"The Australian journal of experimental biology and medical science",NA
"The South African journal of medical sciences",NA
"South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde",NA
"Journal of the American Veterinary Medical Association",NA
"South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde",NA
"Journal of general microbiology",NA
"British journal of experimental pathology",NA
"Comptes rendus des séances de la Société de biologie et de ses filiales",NA
"The Central African journal of medicine",NA
"Annals of tropical medicine and parasitology",NA
"British journal of pharmacology and chemotherapy",NA
"British journal of experimental pathology",NA
"British journal of experimental pathology",NA
"British journal of experimental pathology",NA
"British journal of experimental pathology",NA
"The Japanese journal of experimental medicine",NA
"South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde",NA
"Comptes rendus des séances de la Société de biologie et de ses filiales",NA
"Nature",NA
"Virology",NA
"South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde",NA
"Virology",NA
"Nature",NA
"Nature",NA
"British medical bulletin",NA
"Transactions of the Royal Society of Tropical Medicine and Hygiene",NA
"Annals of tropical medicine and parasitology",NA
"British medical journal",NA
"South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde",NA
"South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde",NA
"South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde",NA
"South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde",NA
