Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Bunyamwera virus possesses a distinct nucleocapsid protein to facilitate genome encapsidation.","/pubmed/23569257","Li B, Wang Q, Pan X, Fernández de Castro I, Sun Y, Guo Y, Tao X, Risco C, Sui SF, Lou Z.","Proc Natl Acad Sci U S A. 2013 May 28;110(22):9048-53. doi: 10.1073/pnas.1222552110. Epub 2013 Apr 8.","Proc Natl Acad Sci U S A.  2013","PubMed","citation","PMID:23569257 | PMCID:PMC3670369","pubmed","23569257","create date:2013/04/10 | first author:Li B",
"Inter-Epidemic and Between-Season Persistence of Rift Valley Fever: Vertical Transmission or Cryptic Cycling?","/pubmed/23551913","Manore CA, Beechler BR.","Transbound Emerg Dis. 2013 Mar 28. doi: 10.1111/tbed.12082. [Epub ahead of print]","Transbound Emerg Dis.  2013","PubMed","citation","PMID:23551913","pubmed","23551913","create date:2013/04/05 | first author:Manore CA",
"Development and evaluation of loop-mediated isothermal amplification assay for detection of Crimean Congo hemorrhagic fever virus in Sudan.","/pubmed/23542058","Osman HA, Eltom KH, Musa NO, Bilal NM, Elbashir MI, Aradaib IE.","J Virol Methods. 2013 Jun;190(1-2):4-10. doi: 10.1016/j.jviromet.2013.03.004. Epub 2013 Mar 28.","J Virol Methods.  2013","PubMed","citation","PMID:23542058","pubmed","23542058","create date:2013/04/02 | first author:Osman HA",
"Rift Valley fever virus clearance and protection from neurologic disease are dependent on CD4+ T cell and virus-specific antibody responses.","/pubmed/23536675","Dodd KA, McElroy AK, Jones ME, Nichol ST, Spiropoulou CF.","J Virol. 2013 Jun;87(11):6161-71. doi: 10.1128/JVI.00337-13. Epub 2013 Mar 27.","J Virol.  2013","PubMed","citation","PMID:23536675 | PMCID:PMC3648110","pubmed","23536675","create date:2013/03/29 | first author:Dodd KA",
"Enriching pathogen transcripts from infected samples: a capture-based approach to enhanced host-pathogen RNA sequencing.","/pubmed/23535274","Bent ZW, Tran-Gyamfi MB, Langevin SA, Brazel DM, Hamblin RY, Branda SS, Patel KD, Lane TW, VanderNoot VA.","Anal Biochem. 2013 Jul 1;438(1):90-6. doi: 10.1016/j.ab.2013.03.008. Epub 2013 Mar 25.","Anal Biochem.  2013","PubMed","citation","PMID:23535274","pubmed","23535274","create date:2013/03/29 | first author:Bent ZW",
"Tempering the risk: Rift Valley fever and bioterrorism.","/pubmed/23527825","Dar O, Hogarth S, McIntyre S.","Trop Med Int Health. 2013 Aug;18(8):1036-41. doi: 10.1111/tmi.12108. Epub 2013 Mar 26. No abstract available. ","Trop Med Int Health.  2013","PubMed","citation","PMID:23527825","pubmed","23527825","create date:2013/03/27 | first author:Dar O",
"The nucleocapsid protein of Rift Valley fever virus is a potent human CD8+ T cell antigen and elicits memory responses.","/pubmed/23527138","Xu W, Watts DM, Costanzo MC, Tang X, Venegas LA, Jiao F, Sette A, Sidney J, Sewell AK, Wooldridge L, Makino S, Morrill JC, Peters CJ, Kan-Mitchell J.","PLoS One. 2013;8(3):e59210. doi: 10.1371/journal.pone.0059210. Epub 2013 Mar 18.","PLoS One.  2013","PubMed","citation","PMID:23527138 | PMCID:PMC3601065","pubmed","23527138","create date:2013/03/26 | first author:Xu W",
"Post-exposure vaccination with MP-12 lacking NSs protects mice against lethal Rift Valley fever virus challenge.","/pubmed/23523764","Gowen BB, Bailey KW, Scharton D, Vest Z, Westover JB, Skirpstunas R, Ikegami T.","Antiviral Res. 2013 May;98(2):135-43. doi: 10.1016/j.antiviral.2013.03.009. Epub 2013 Mar 21.","Antiviral Res.  2013","PubMed","citation","PMID:23523764 | PMCID:PMC3665270","pubmed","23523764","create date:2013/03/26 | first author:Gowen BB",
"The 2006-2007 Rift Valley fever outbreak in Kenya: sources of early warning messages and response measures implemented by the Department of Veterinary Services.","/pubmed/23520741","Gachohi JM, Bett B, Njogu G, Mariner JC, Jost CC.","Rev Sci Tech. 2012 Dec;31(3):877-87.","Rev Sci Tech.  2012","PubMed","citation","PMID:23520741","pubmed","23520741","create date:2013/03/26 | first author:Gachohi JM",
"Relevance of Rift Valley fever to public health in the European Union.","/pubmed/23517372","Chevalier V.","Clin Microbiol Infect. 2013 Aug;19(8):705-8. doi: 10.1111/1469-0691.12163. Epub 2013 Mar 20.","Clin Microbiol Infect.  2013","PubMed","citation","PMID:23517372","pubmed","23517372","create date:2013/03/23 | first author:Chevalier V",
"Rift Valley fever virus MP-12 vaccine encoding Toscana virus NSs retains neuroinvasiveness in mice.","/pubmed/23515022","Indran SV, Lihoradova OA, Phoenix I, Lokugamage N, Kalveram B, Head JA, Tigabu B, Smith JK, Zhang L, Juelich TL, Gong B, Freiberg AN, Ikegami T.","J Gen Virol. 2013 Jul;94(Pt 7):1441-50. doi: 10.1099/vir.0.051250-0. Epub 2013 Mar 20.","J Gen Virol.  2013","PubMed","citation","PMID:23515022 | PMCID:PMC3709633","pubmed","23515022","create date:2013/03/22 | first author:Indran SV",
"Capripoxvirus-vectored vaccines against livestock diseases in Africa.","/pubmed/23499648","Boshra H, Truong T, Nfon C, Gerdts V, Tikoo S, Babiuk LA, Kara P, Mather A, Wallace D, Babiuk S.","Antiviral Res. 2013 May;98(2):217-27. doi: 10.1016/j.antiviral.2013.02.016. Epub 2013 Mar 7.","Antiviral Res.  2013","PubMed","citation","PMID:23499648","pubmed","23499648","create date:2013/03/19 | first author:Boshra H",
"Outbreak of viral hemorrhagic fever caused by dengue virus type 3 in Al-Mukalla, Yemen.","/pubmed/23497142","Madani TA, Abuelzein el-TM, Al-Bar HM, Azhar EI, Kao M, Alshoeb HO, Bamoosa AR.","BMC Infect Dis. 2013 Mar 14;13:136. doi: 10.1186/1471-2334-13-136.","BMC Infect Dis.  2013","PubMed","citation","PMID:23497142 | PMCID:PMC3605114","pubmed","23497142","create date:2013/03/19 | first author:Madani TA",
"Virus-like particle-based countermeasures against Rift Valley fever virus.","/pubmed/22958258","Koukuntla R, Mandell RB, Flick R.","Zoonoses Public Health. 2012 Sep;59 Suppl 2:142-50. doi: 10.1111/j.1863-2378.2012.01478.x.","Zoonoses Public Health.  2012","PubMed","citation","PMID:22958258","pubmed","22958258","create date:2013/03/19 | first author:Koukuntla R",
"Vectorborne diseases in West Africa: geographic distribution and geospatial characteristics.","/pubmed/23479360","Ratmanov P, Mediannikov O, Raoult D.","Trans R Soc Trop Med Hyg. 2013 May;107(5):273-84. doi: 10.1093/trstmh/trt020. Epub 2013 Mar 10.","Trans R Soc Trop Med Hyg.  2013","PubMed","citation","PMID:23479360","pubmed","23479360","create date:2013/03/13 | first author:Ratmanov P",
"Human cases of Wesselsbron disease, South Africa 2010-2011.","/pubmed/23473219","Weyer J, Thomas J, Leman PA, Grobbelaar AA, Kemp A, Paweska JT.","Vector Borne Zoonotic Dis. 2013 May;13(5):330-6. doi: 10.1089/vbz.2012.1181. Epub 2013 Mar 8.","Vector Borne Zoonotic Dis.  2013","PubMed","citation","PMID:23473219","pubmed","23473219","create date:2013/03/12 | first author:Weyer J",
"Serological evidence of Rift Valley fever virus circulation in sheep and goats in Zambézia Province, Mozambique.","/pubmed/23469300","Fafetine J, Neves L, Thompson PN, Paweska JT, Rutten VP, Coetzer JA.","PLoS Negl Trop Dis. 2013;7(2):e2065. doi: 10.1371/journal.pntd.0002065. Epub 2013 Feb 28.","PLoS Negl Trop Dis.  2013","PubMed","citation","PMID:23469300 | PMCID:PMC3585041","pubmed","23469300","create date:2013/03/08 | first author:Fafetine J",
"The network level reproduction number for infectious diseases with both vertical and horizontal transmission.","/pubmed/23454228","Xue L, Scoglio C.","Math Biosci. 2013 May;243(1):67-80. doi: 10.1016/j.mbs.2013.02.004. Epub 2013 Feb 28.","Math Biosci.  2013","PubMed","citation","PMID:23454228","pubmed","23454228","create date:2013/03/05 | first author:Xue L",
"Identifying landscape features associated with Rift Valley fever virus transmission, Ferlo region, Senegal, using very high spatial resolution satellite imagery.","/pubmed/23452759","Soti V, Chevalier V, Maura J, Bégué A, Lelong C, Lancelot R, Thiongane Y, Tran A.","Int J Health Geogr. 2013 Mar 1;12:10. doi: 10.1186/1476-072X-12-10.","Int J Health Geogr.  2013","PubMed","citation","PMID:23452759 | PMCID:PMC3600004","pubmed","23452759","create date:2013/03/05 | first author:Soti V",
"Relationship between burden of infection in ungulate populations and wildlife/livestock interfaces.","/pubmed/23442901","Caron A, Miguel E, Gomo C, Makaya P, Pfukenyi DM, Foggin C, Hove T, de Garine-Wichatitsky M.","Epidemiol Infect. 2013 Jul;141(7):1522-35. doi: 10.1017/S0950268813000204. Epub 2013 Feb 26.","Epidemiol Infect.  2013","PubMed","citation","PMID:23442901","pubmed","23442901","create date:2013/02/28 | first author:Caron A",
"Evolutionary and molecular analysis of the emergent severe fever with thrombocytopenia syndrome virus.","/pubmed/23438426","Lam TT, Liu W, Bowden TA, Cui N, Zhuang L, Liu K, Zhang YY, Cao WC, Pybus OG.","Epidemics. 2013 Mar;5(1):1-10. doi: 10.1016/j.epidem.2012.09.002. Epub 2012 Sep 26.","Epidemics.  2013","PubMed","citation","PMID:23438426","pubmed","23438426","create date:2013/02/27 | first author:Lam TT",
"Dicer-2 processes diverse viral RNA species.","/pubmed/23424633","Sabin LR, Zheng Q, Thekkat P, Yang J, Hannon GJ, Gregory BD, Tudor M, Cherry S.","PLoS One. 2013;8(2):e55458. doi: 10.1371/journal.pone.0055458. Epub 2013 Feb 12.","PLoS One.  2013","PubMed","citation","PMID:23424633 | PMCID:PMC3570552","pubmed","23424633","create date:2013/02/21 | first author:Sabin LR",
"RNA helicase signaling is critical for type i interferon production and protection against Rift Valley fever virus during mucosal challenge.","/pubmed/23408632","Ermler ME, Yerukhim E, Schriewer J, Schattgen S, Traylor Z, Wespiser AR, Caffrey DR, Chen ZJ, King CH, Gale M Jr, Colonna M, Fitzgerald KA, Buller RM, Hise AG.","J Virol. 2013 May;87(9):4846-60. doi: 10.1128/JVI.01997-12. Epub 2013 Feb 13.","J Virol.  2013","PubMed","citation","PMID:23408632 | PMCID:PMC3624317","pubmed","23408632","create date:2013/02/15 | first author:Ermler ME",
"Is the United States really at risk for introduction of Rift Valley fever virus?","/pubmed/23402404","Salman M.","J Am Vet Med Assoc. 2013 Mar 1;242(5):606-8. doi: 10.2460/javma.242.5.606. No abstract available. ","J Am Vet Med Assoc.  2013","PubMed","citation","PMID:23402404","pubmed","23402404","create date:2013/02/14 | first author:Salman M",
"Members of the Culex pipiens complex as vectors of viruses.","/pubmed/23401952","Turell MJ.","J Am Mosq Control Assoc. 2012 Dec;28(4 Suppl):123-6. Review.","J Am Mosq Control Assoc.  2012","PubMed","citation","PMID:23401952","pubmed","23401952","create date:2013/02/14 | first author:Turell MJ",
"Introduction to the symposium Global Perspective on the Culex pipiens Complex in the 21st century: The Interrelationship of Culex pipiens, quinquefasciatus, molestus and others.","/pubmed/23401940","Linthicum KJ.","J Am Mosq Control Assoc. 2012 Dec;28(4 Suppl):4-9.","J Am Mosq Control Assoc.  2012","PubMed","citation","PMID:23401940","pubmed","23401940","create date:2013/02/14 | first author:Linthicum KJ",
"Inactivation of infectious virus and serological detection of virus antigen in Rift Valley fever virus-exposed mosquitoes fixed with paraformaldehyde.","/pubmed/23391826","Kading R, Crabtree M, Miller B.","J Virol Methods. 2013 Apr;189(1):184-8. doi: 10.1016/j.jviromet.2013.01.014. Epub 2013 Feb 4.","J Virol Methods.  2013","PubMed","citation","PMID:23391826","pubmed","23391826","create date:2013/02/09 | first author:Kading R",
"Severe fever with thrombocytopenia virus glycoproteins are targeted by neutralizing antibodies and can use DC-SIGN as a receptor for pH-dependent entry into human and animal cell lines.","/pubmed/23388721","Hofmann H, Li X, Zhang X, Liu W, Kühl A, Kaup F, Soldan SS, González-Scarano F, Weber F, He Y, Pöhlmann S.","J Virol. 2013 Apr;87(8):4384-94. doi: 10.1128/JVI.02628-12. Epub 2013 Feb 6.","J Virol.  2013","PubMed","citation","PMID:23388721 | PMCID:PMC3624395","pubmed","23388721","create date:2013/02/08 | first author:Hofmann H",
"Modeling the spatial spread of Rift Valley fever in Egypt.","/pubmed/23377629","Gao D, Cosner C, Cantrell RS, Beier JC, Ruan S.","Bull Math Biol. 2013 Mar;75(3):523-42. doi: 10.1007/s11538-013-9818-5. Epub 2013 Feb 2.","Bull Math Biol.  2013","PubMed","citation","PMID:23377629 | PMCID:PMC3664403","pubmed","23377629","create date:2013/02/05 | first author:Gao D",
"Microfluidic platforms for RNA interference screening of virus-host interactions.","/pubmed/23361404","Schudel BR, Harmon B, Abhyankar VV, Pruitt BW, Negrete OA, Singh AK.","Lab Chip. 2013 Mar 7;13(5):811-7. doi: 10.1039/c2lc41165b. Epub 2013 Jan 30.","Lab Chip.  2013","PubMed","citation","PMID:23361404","pubmed","23361404","create date:2013/01/31 | first author:Schudel BR",
"Infection and propagation of Crimean-Congo hemorrhagic fever virus in embryonated chicken eggs.","/pubmed/23352881","Xia H, Zhao J, Li Y, Yin S, Tang S, Zhang Z, Yu J, Kou Z, Fan Z, Li T.","Virus Res. 2013 May;173(2):344-9. doi: 10.1016/j.virusres.2013.01.008. Epub 2013 Jan 23.","Virus Res.  2013","PubMed","citation","PMID:23352881","pubmed","23352881","create date:2013/01/29 | first author:Xia H",
"[Experimental and clinicolaboratory evaluation of complex therapy efficacy in arboviral infections].","/pubmed/23350190","Romantsov MG, Galimzianov KhM, Lokteva OM, Kovalenko AL, Stepanov AV.","Antibiot Khimioter. 2012;57(7-8):12-22. Russian. ","Antibiot Khimioter.  2012","PubMed","citation","PMID:23350190","pubmed","23350190","create date:2013/01/29 | first author:Romantsov MG",
"Rift Valley fever, Sudan, 2007 and 2010.","/pubmed/23347790","Aradaib IE, Erickson BR, Elageb RM, Khristova ML, Carroll SA, Elkhidir IM, Karsany ME, Karrar AE, Elbashir MI, Nichol ST.","Emerg Infect Dis. 2013 Feb;19(2):246-53. doi: 10.3201/eid1902.120834.","Emerg Infect Dis.  2013","PubMed","citation","PMID:23347790 | PMCID:PMC3559046","pubmed","23347790","create date:2013/01/26 | first author:Aradaib IE",
"Rift Valley fever and a new paradigm of research and development for zoonotic disease control.","/pubmed/23347653","Dar O, McIntyre S, Hogarth S, Heymann D.","Emerg Infect Dis. 2013 Feb;19(2):189-93. doi: 10.3201/eid1902.120941.","Emerg Infect Dis.  2013","PubMed","citation","PMID:23347653 | PMCID:PMC3559053","pubmed","23347653","create date:2013/01/26 | first author:Dar O",
"Development of a panel of recombinase polymerase amplification assays for detection of biothreat agents.","/pubmed/23345286","Euler M, Wang Y, Heidenreich D, Patel P, Strohmeier O, Hakenberg S, Niedrig M, Hufert FT, Weidmann M.","J Clin Microbiol. 2013 Apr;51(4):1110-7. doi: 10.1128/JCM.02704-12. Epub 2013 Jan 23.","J Clin Microbiol.  2013","PubMed","citation","PMID:23345286 | PMCID:PMC3666764","pubmed","23345286","create date:2013/01/25 | first author:Euler M",
"Immunogeno: Protective mechanism for Rift Valley fever in the Democratic Republic of Congo.","/pubmed/23327406","Tshilenge G.","Onderstepoort J Vet Res. 2012 Jun 20;79(2):E1. doi: 10.4102/ojvr.v79i2.483.","Onderstepoort J Vet Res.  2012","PubMed","citation","PMID:23327406","pubmed","23327406","create date:2013/01/19 | first author:Tshilenge G",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"The epidemiology and socio-economic impact of Rift Valley fever epidemics in Tanzania: A review.","/pubmed/23327390","Sindato C, Karimuribo E, Mboera EG.","Onderstepoort J Vet Res. 2012 Jun 20;79(2):E1. doi: 10.4102/ojvr.v79i2.467.","Onderstepoort J Vet Res.  2012","PubMed","citation","PMID:23327390","pubmed","23327390","create date:2013/01/19 | first author:Sindato C",
"Rift Valley fever: Real or perceived threat for Zambia?","/pubmed/23327389","Dautu G, Sindato C, Mweene AS, Samui KL, Roy P, Noad R, Paweska J, Majiwa PA, Musoke A.","Onderstepoort J Vet Res. 2012 Jun 20;79(2):E1-6. doi: 10.4102/ojvr.v79i2.466.","Onderstepoort J Vet Res.  2012","PubMed","citation","PMID:23327389","pubmed","23327389","create date:2013/01/19 | first author:Dautu G",
"The African buffalo: A villain for inter-species spread of infectious diseases in southern Africa.","/pubmed/23327373","Michel AL, Bengis RG.","Onderstepoort J Vet Res. 2012 Jun 20;79(2):E1-5. doi: 10.4102/ojvr.v79i2.453.","Onderstepoort J Vet Res.  2012","PubMed","citation","PMID:23327373","pubmed","23327373","create date:2013/01/19 | first author:Michel AL",
"An investigation into an outbreak of Rift Valley fever on a cattle farm in Bela-Bela, South Africa, in 2008.","/pubmed/23327134","Mapaco LP, Coetzer JA, Paweska JT, Venter EH.","J S Afr Vet Assoc. 2012 Oct 4;83(1):132. doi: 10.4102/jsava.v83i1.132.","J S Afr Vet Assoc.  2012","PubMed","citation","PMID:23327134","pubmed","23327134","create date:2013/01/19 | first author:Mapaco LP",
"Common host-derived chemicals increase catches of disease-transmitting mosquitoes and can improve early warning systems for Rift Valley fever virus.","/pubmed/23326620","Tchouassi DP, Sang R, Sole CL, Bastos AD, Teal PE, Borgemeister C, Torto B.","PLoS Negl Trop Dis. 2013;7(1):e2007. doi: 10.1371/journal.pntd.0002007. Epub 2013 Jan 10.","PLoS Negl Trop Dis.  2013","PubMed","citation","PMID:23326620 | PMCID:PMC3542179","pubmed","23326620","create date:2013/01/18 | first author:Tchouassi DP",
"Toscana virus NSs protein promotes degradation of double-stranded RNA-dependent protein kinase.","/pubmed/23325696","Kalveram B, Ikegami T.","J Virol. 2013 Apr;87(7):3710-8. doi: 10.1128/JVI.02506-12. Epub 2013 Jan 16.","J Virol.  2013","PubMed","citation","PMID:23325696 | PMCID:PMC3624217","pubmed","23325696","create date:2013/01/18 | first author:Kalveram B",
"Crystal structure of glycoprotein C from Rift Valley fever virus.","/pubmed/23319635","Dessau M, Modis Y.","Proc Natl Acad Sci U S A. 2013 Jan 29;110(5):1696-701. doi: 10.1073/pnas.1217780110. Epub 2013 Jan 14.","Proc Natl Acad Sci U S A.  2013","PubMed","citation","PMID:23319635 | PMCID:PMC3562824","pubmed","23319635","create date:2013/01/16 | first author:Dessau M",
"Description and analysis of the cattle trade network in the Madagascar highlands: potential role in the diffusion of Rift Valley fever virus.","/pubmed/23295911","Nicolas G, Durand B, Duboz R, Rakotondravao R, Chevalier V.","Acta Trop. 2013 Apr;126(1):19-27. doi: 10.1016/j.actatropica.2012.12.013. Epub 2013 Jan 4.","Acta Trop.  2013","PubMed","citation","PMID:23295911","pubmed","23295911","create date:2013/01/09 | first author:Nicolas G",
